本次排名,上次排名,排名变化,商品ID,商品标题,品牌,国补后价格,付款人数,最新价格,最新付款人数,付款金额,店铺名称,商品链接,备注,8-19_付款人数,8-19_价格,8-20_付款人数,8-20_价格,8-22_付款人数,8-22_价格,页码
111,114,上涨3,9.22732E+11,好太太人脸识别智能门锁可视电子密码锁入户门指纹锁家用防盗门锁,好太太,424.15,100,419.05,132,55314.6,好太太智能家居旗舰店,https://detail.tmall.com/item.htm?id=922731736444&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=76fa671e0ade45df833bbf5cfb48b602d2c553b3&mi_id=0000hSpbs68WaBqo4FjYbyjs1gZ7ds-NNH_lJbFREuORm1I&skuId=5798497457636&priceTId=214784c817555876177405075e143f&utparam=%7B%22aplus_abtest%22%3A%22059bc8737ebe19d0dc1b1e83823351bd%22%7D&spm=a21n57.1.item.32,合并了2个相似商品; ,132,419.05,100,同上,132,同上,
112,172,上涨60,7.64417E+11,康佳9S智能门锁3D人脸识别家用防盗门入户电子可视猫眼指纹密码锁,康佳,269,89,269,129,34701,KONKA康佳智能锁旗舰店,https://detail.tmall.com/item.htm?id=764416613991&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000W7vaNZawjvezhWHu5N3UNkBJTA46-muEewREw-qXcEo&skuId=5262285705792&priceTId=214784c817555876476096297e143f&utparam=%7B%22aplus_abtest%22%3A%22b8a1b8b6c5c2ba9fad3261bd2b9da239%22%7D&spm=a21n57.1.item.9,合并了3个相似商品; ,67,同上,同上,同上,129,同上,
113,N/A,新品,7.52756E+11,防火门锁改装指纹锁家用通道智能锁办公室密码锁室内消防门电子锁,欧时特,148,128,148,128,18944,欧时特旗舰店,https://detail.tmall.com/item.htm?id=752756303226&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000JqRm6yxge3yl9vop0XNrz_1_qea3EWSscPc4UDb8-bc&skuId=5361529959200&priceTId=215046ff17558480823347940e0e01&utparam=%7B%22aplus_abtest%22%3A%22b4e0b50db65b830e207310b737b1202c%22%7D&spm=a21n57.1.item.3,新品; 合并了2个相似商品; ,,,,,128,148,4
114,136,上涨22,9.02183E+11,华为智能门锁2pro全自动人脸识别密码锁家用指纹锁电子锁国家补贴,华为,2034.05,132,2034.05,128,260358.4,华为舒耀专卖店,https://detail.tmall.com/item.htm?id=902182879834&ns=1&abbucket=16&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=f78d4a81a2c280cfc8b53b41374c115fb651a0c7&mi_id=0000qJY6eW529Jc3UXNivc3UTqxhqbCCHhD5xTREZebvzhQ&skuId=5942195707946&priceTId=2147821917556902498327615e10e0&utparam=%7B%22aplus_abtest%22%3A%22685a01f12fbc62c01442c889498ad4be%22%7D&spm=a21n57.1.item.18,合并了2个相似商品; ,132,2034.05,100,同上,128,同上,
115,100,下降15,7.11038E+11,3d人脸识别指纹锁家用防盗门智能门锁猫眼可视电子密码锁十大品牌,星吉伦,199,126,178.03,124,22075.72,星吉伦旗舰店,https://detail.tmall.com/item.htm?id=711038009423&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000ydFyZvXfDgKkxResLy2UCRmMIHP81zoHFd2wU3exOzw&skuId=5759438485078&priceTId=214784c817555876177405075e143f&utparam=%7B%22aplus_abtest%22%3A%223e6c79a8660d4873a5d36ae08dad5bb8%22%7D&spm=a21n57.1.item.2,合并了2个相似商品; ,同上,178.03,100,同上,124,同上,
116,138,上涨22,8.98158E+11,苏宁智能门锁家用指纹密码锁防盗入户门全自动人脸识别电子锁2392,苏宁,418.67,125,429.01,123,52768.23,苏宁易购官方旗舰店,https://detail.tmall.com/item.htm?id=898157995908&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000hCYLzbVV9RIvJc046kugK2mJxcFPEMSIJNJu2OrDkEE&skuId=5919501574915&priceTId=214784c817555876326565695e143f&utparam=%7B%22aplus_abtest%22%3A%22fbd8d7a684556c69ae1a682e89e25dbd%22%7D&spm=a21n57.1.item.14,合并了2个相似商品; ,同上,429.01,100,同上,123,同上,
117,130,上涨13,8.84002E+11,海尔智能门锁P40Pro人脸识别指纹锁密码锁电子锁猫眼大屏家用防盗,海尔,679.15,32,691.05,119,82234.95,海尔全屋智慧旗舰店,https://click.simba.taobao.com/cc_im?p=%D6%C7%C4%DC%C3%C5%CB%F8&s=1287085096&k=2201&e=Y4kcC%2FRCr6%2FHCVW54XBHouZx1AK014eKz4vwZ7%2BmFI5e94qjVGdtWulgpBuERa9MPpEO9l78ibsPFLcK5WZyxQrBMOu%2BAjtXj7sgmfRvmvBHzjv6jzIxggFRQjmYy5pUn8wQPYm9ahX1DCxCG8ZVov30IiBryBcGaR%2B86STf6jDBbcoYJo5AtpQgr5Tlbz1387PRJIq8bZzKQmBjv9ag2bp35vnXy4gLkk1KzPOLdPzOvqmEE1ZsWQMPA5WxX5gtNke5hre9qw6gShwht60SkQAsAoGSrytVAyYMRlPblGYWTfwUpUpehCfEgcoO17BgmSTG8LaxJQdGqiLUtCuhdbCybbdxikU%2BxGHPPuoWPOy9KkmA9S4pc89DRmipRs%2BHKHuNLdoUA%2FrymqUQRNAiYUtrAscqDjf%2FwcX9QPco1XLreewE83JDI8Q4SwpOFZgH%2F15%2BUiCwe%2BwWpYW5q9v67u36R4Tdp2BdiShtCM%2FgV0pn2q%2FyQe%2FhzQe9JjgeFwwYOsDpKwW9zFdO8zV0ulSBIHUMYjLoS3UWuduz2uxcdZfhrH%2FlaDXqR8ouH41g5By9ol2SnmOMpN7IWeUTzpz5DMSk37T%2BbX6eGJ8K7kBLZG8sL0iBcUktF63bDs86Jq9nc%2Bk%2BkhOSski5UsDhKxln7IKhvcxqE7v1zYtB1EchrsrSPnrlFQg8flQThETvQaeKDhvVe%2Bd4gyeMg8wqTZ7jfBF52uzLLMRdf9tVMwJ9WwMPoEaW89yXRd4xSbeV8JDfZn4fN1GTcFl4BHYw%2FkVuv0cZDCqd8EzZrEUtQngsl2QvQ50v6D5ten4g%2F%2Fs8Px%2FY9F%2FLs6FRfYaTP%2BKVW5lMy3Iogsz0dZ0PnnEQzvA%2FpguNLQ%2BA4SWsO%2BVOQk%2BIaTqU3L6Z9ftJ8uDJbsbB3L4JV2krfIVYd5Ah6XYN1M1UwFX1bxjBCXSumkW4QJBA2zZ0yyjuyT50Hibusd6QQnnKz9PQ0aO1d3g9mgBDChhkHAm%2FmbrNEKvpt7Yc%2Fw8MoKN%2FW%2F4rsh6ZsWdK6bd3eQH3adsvPw%2B8ksgkTF60LIuKKyHuHXsdsghJeoYeed1dUy0RSuxSGUyDHuA7%2BFyLtYlKA1YNEKemrv0Sn%2F7X7PKH5ItnmmiERDWhFHcCGnxtqO5wAby7u1c7b%2F3qdj3HjR17Ml%2BN0YzYsH2tRrJoodeP8v9Y1txGvb%2F8B6mip2kH%2FNgqFziJ9uA6ogGwwcGdVO9EEb6vxr00dETLyi4fjWDkHL2iXZKeY4yk3shZ5RPOnPkMxKTftP5tfp4YnwruQEtkbywvSIFxSS0XGf6rVlEfVK8dJgXiFakAL%2FMvvpkAy7Pvlvj0j71kDgDcHdddm8F4%2FoFiybXVWpklodypBV6IpfEY0qegT7H29Q6%2FfOcLzXXpbPOh3ELYzMSurhunog%2BmJxQIGikCNIBCM7M4x8x%2BaJNq8ax%2BkuwawrLk4K940LqXr8o628C30JglpyEvuz5gMUP23gI9AGJk4x%2Fv4dnJLkBjqs6%2FZ8%2FLgzvfQOYnKlqKhwf0%2FO0zR%2BAdlc9c%2BQP6HIkobQjP4FdKZ6dNfVzz7Cg6%2FFOZdS%2FOQmTDGs5eV40RiShtCM%2FgV0okXsD1uHA5OSEOod8P6ekeFp7mAs7jRBUvkbKjr8%2FAGmdjS1ao2R%2Bbh5o25vLielw327%2FZSdu6XN9Cp8eoc5rAeV77DPIapmNAHPla4WbOr5IikCQNeiLqQD12hIoqLX4vx5fQv2uKghz8tUzIXpSEE5njRMChvfiaSxLNZquW9VtQzP0chPTzcg4N0Ae3jksskz%2BnoxfDCdfNoQmXT%2BkLaasGKxtIzCl8q7110Cr82Z2Eiri88kmOHgWd%2FQYkgxOsjr%2FPpAfhgmzm%2FtZNq%2B7pcU%2F0Ax%2BopWQQHHiiFvQqUl75CQNJ2UYWmbrApkip0xv2SgI973bjYfRP6elDSfIKwodmj9nQMYMlE1%2BavfJR9%2BKzbfbdd7z0VXK4JxNg%2BbeOXLnGcl%2B9jQzgyp7ldY1hFsnH4d4XD87%2FJ6f4gL1tbRUbSvlDeCrXeWyvc4GfqARXNWHsK0SM14VKuEWExGKu9cXH19ig0t1zdBh8lMlpAWNsOU16%2F%2Bl9as96xKhsw0fUgMmMJMAlSFfM9lmXwoVIxuaWEEgO4hudV45gpI8uxFsxs7lfrkvyNAI8WywLdgTHKZIpq2WoOA%3D%3D&eadt=282&mm_sceneid=1_0_2558470184_0&a=xxc%3Dad_ztc%26umpChannel%3Dbybtqdyh%26u_channel%3Dbybtqdyh%26fpChannel%3D101%26fpChannelSig%3Dc3c909300b60168635910d3c0fe225e5ea84e6ca%26mi_id%3D0000p-wAxUoRlmJKI2Tkf0uWMT2UXh044sV57yNJUJaDs98%26skuId%3D5754369472068%26priceTId%3D2147836a17555884410248280e1355%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522e7662f93b4fcee85eb9f1c6217d5c88f%25252522%2525257D%26&id=884002110060&spm=a21n57.1.item.1,合并了2个相似商品; ,118,691.05,100,同上,119,同上,
118,N/A,新品,9.21841E+11,咏洛肯德基门有框玻璃门密码锁免开孔带框单双门智能电子锁指纹锁,咏洛,134.24,118,134.24,118,15840.32,咏洛旗舰店,https://detail.tmall.com/item.htm?id=921840508691&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000UwO_XbCQa-aQWFaKwS-cCrTG4Av1N6oLr0BpAGOTqNI&skuId=5796531153922&priceTId=213e02a717558490527147108e2b14&utparam=%7B%22aplus_abtest%22%3A%22abe82d913723b5283c936c10ec85d3af%22%7D&spm=a21n57.1.item.28,新品; 合并了5个相似商品; ,,,,,118,134.24,9
119,69,下降50,7.82307E+11,德施曼人脸猫眼大屏智能门锁掌静脉智能锁密码锁麒麟Q50FVMax,德施曼,2634.15,200,2629.05,115,302340.75,德施曼旗舰店,https://detail.tmall.com/item.htm?id=782307018638&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=3e41d96c0e3716c748270447507d4c44dfafbcf8&mi_id=0000rLxI150wbFYYXF2YqY2NRGeNQNDRXSJEkkKT_cLNjgA&skuId=5433427925751&priceTId=214781f817555876005898196e0f19&utparam=%7B%22aplus_abtest%22%3A%22488d844cc7c7860c80d1b7ba4b4a944a%22%7D&spm=a21n57.1.item.30,销量为估算值; 合并了2个相似商品; ,未找到,未找到,300,2629.05,115,同上,
120,N/A,新品入榜,9.13027E+11,【李佳琦直播间七夕专场】德施曼指纹锁人脸识别R9精灵版,德施曼,2629.05,411,2799.05,113,316292.65,德施曼旗舰店,https://click.simba.taobao.com/cc_im?p=%D6%C7%C4%DC%C3%C5%CB%F8&s=1628306189&k=2265&e=HI2c1m2oofPLitCI%2BxtDgab0AFx5aZNcwpDaQW%2FXUxlm0sPq8IA%2B%2B%2Ff5j57It%2BwWTtBvYl5FcirKjsVKEOHcDPhncR4gqRkWw8rO%2Bzu6Mj1ey%2Bz%2Fi4FDqfuSQ5%2FhzsjkPEw3yK%2BSKK4bKXIe5MYF%2Ff%2FFi9DQAImLYjqlcSC8%2Fl8ZOaf1uRKutPqV0srOzXdkb25w5ldjqPwXQvxVYqKkdQzztzOi7oO%2F9YyBLJMN7fcAq8dqT11QY9jbno25tfFXQZe2SjvWbzOT%2FJ15QMwDjNlNeb1VR%2FjYIFQHQvFuHv9kTs%2BOn3H0hlhVm3k3bR3Uqh6geodOuMoTZcgVabC83FsXoxJn8aj%2Bl5E%2BrBOrtBlMhtiUGNZF8wbDUlGC8iVr0rULI00Rw4eWSOatKH%2FttiZOpz5qOIQL5nBer1hKwLONa4K5gJG0jMoz8UxQp%2Fn4NipVKWLi0WnrGLB5n7H6EYSGowTlu6z1%2Bq%2Bi0Sjma%2B2N3Q7P51jxBy2JPc22jQVqgC6jCncG59G0cylDk6hMMDcjm%2BRx0BUoTudeXoyIKsvfZ4eFw39UmTo%2FpFhbyK4MwQFfFCcjIuJrBCbWFgvbbotyaq8QiOTQLewOQHkhTdJgwZ3IRfsxTReySg1w5ER6PSUBVRaf63XC0V9djK0kA%2B9u3ptkeDu8FYHQMDNZRKj6MUnuGQm9WSfxxx4CBA2BnWEMo7rWonW4%2FVNgdxW0kBHUkmg8JAOR5NZ8fi3c4VMOmbBp%2FDiZAOj8H%2FBpnWCN1zfGHRAn9qC%2BH46Dv0z%2BDFMlADdpZ56JbQCdWPD1%2FhuPr8O387sRAYFKuc%2BjRHGY9SlBEZ2jLtA2dEwaNU8PiMBVv1GZKV%2FWhOfgE1TJJS3lPEDzFAoPjVw1nAJR%2B%2Bccrb3HmTezkjDxwDlGdUqDoaifg59lPe%2BVdXQYE9sLvQIlAvesBSpiYVk8lSGh8AN3RFgLv9CoPBrwBEdqvKbhWDGQORqe4VunI8DeQcHLps%2BXq2w9xbG%2FrDpbjLx%2Fg%2FdgU4bW%2FoQyLOn5q%2FMO7u1DWRoXLGNDQpe%2FM9Z%2FW3YGeQbPCLzGVX5qjHbdDor8vvMeIGo8Un7vWDIIzBYo6i%2FMpWWULsG5FqVMcEs6ZxCKz4FYiMFzWlm7dcNdeJlpE7fYCAcwoi6QnRy3xNIiJokhYO7I59HYuBMAf2RtLywAoB%2BTXSKaXhrT%2Fpoqy3Urryam091g7lAGm%2B6uYVqZ3CqUwPZHhy%2BeXsXiTjIbH6Yez3Ps0ZWlPj1QAbX%2FUdwHQCb4STobGTH%2FDCJyUZ6wvX07m1OsnAN0PpkbPkBHJleD9bPvvVzxEthj5j9QRiYGdk6HGlWv63inuLBuEj%2BibIBhZXKhJegAUargpZC3RH1PcyhwNehp02Y77lOsnAN0Ppkb0%2B1vx8hvPcOoDgAC4cqdtJttrwnfLmp1pES1OBwW6ZCrWHiN8%2Fg24ta3y6A8jtOg5%2Bu%2F1747rABw9wovUF5jvqlMrrxypN5AQ59d2S8hZCyXnIFBI2ga8tHQZ2ERXIzFQn5V3ze9QYFH6eKCqRCbPXUObr2AuEmY2oaNrniSh9lBiShUgPixc25Jl9eB4kkZSxvbNsMl7fhTqc%2Be%2FRczBtfIvtqa37NKdssiEwhzdXVLG9s2wyXt%2BLKfmAwavvUV%2BJBf6W6%2Bucn%2Fg%2F0Mbwv7a7eBZTTo6zNBMHLvK2yebubdS%2BUeGFc%2F9BslpCEpKZVUvXwV1v5eJv7TKYaOgSX8j8pkcE%2BOGGKOeARDh2yS%2FTKrKTEGeePLCp2dVW3iTUUZon7U9eIbsf31CPrio4XpQl7izmJal0eR01%2FYydjdvrCe%2FJqj4%2Bj7EESp886FjsspDrsivD6wUFj09yNHqvc1pDcrArlXRpIgtJzoKIDIZPVbUOSc9gy3i7tL2mE0AewVSOZhp%2BQ4DCaEKkrzkljKgT198oAJHNIMA9LAjMOAKFIC5sQVTo6kIFKcloQ3ACO82T7d1ArYA26Psc3qeubhms9WPGypucb1aD4i5UJYfLJG8GW3mZIgEZehF%2BSOXKrOuiqAnydf39hq5oOZEHnz69DLc0gGbBUGIN9oTU8vhInnRzCJdGvxw9qKGhYzqwLXZNDt3zBhn2UAQHOjoZ0Gj66R0CXbfZpF3efUMF%2BLB9iG1f40Vxdt%2FoAuowp3BufRlKXhNwDoso0zguiyoeRqmrarWDV%2BptcbwQFfFCcjIuI8Yxg4msvc68KbSYxfuWe5MgXMPIC4UqTvM6tX%2Bpt5ug%3D%3D&eadt=282&mm_sceneid=1_0_30467356_0&a=xxc%3Dad_ztc%26umpChannel%3Dbybtqdyh%26u_channel%3Dbybtqdyh%26fpChannel%3D101%26fpChannelSig%3D90ea94f35b51001eb3bcf8d6772973279aca6ca2%26mi_id%3D00009qcOGtPFBBUOq3RMEqZ32qAYMf_9HBoWGEPM5Z4beYQ%26skuId%3D5943878115690%26priceTId%3D2147821917556902111445865e10e0%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%2525252248266a768348631f9530b3db95585f70%25252522%2525257D%26&id=913026628552&spm=a21n57.1.item.4,销量为估算值; 合并了2个相似商品; ,411,2629.05,未找到,未找到,113,2799.05,
121,N/A,新品,7.37309E+11,安将军办公室单扇玻璃门指纹锁单门单开隔断带有框把手智能密码锁,安将军,269.36,113,269.36,113,30437.68,安将军旗舰店,https://detail.tmall.com/item.htm?id=737308784694&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000dyRfuHp5DSHCI31erdymmNODzGzMrPpkRimu-dx3tE8&skuId=5671333937945&priceTId=214786fc17558483827967366e1be3&utparam=%7B%22aplus_abtest%22%3A%22c96ed35a92e50e789a0c4c51571beacd%22%7D&spm=a21n57.1.item.45,新品; 合并了2个相似商品; ,,,,,113,269.36,5
122,158,上涨36,7.97198E+11,德施曼人脸猫眼大屏智能门锁密码锁麒麟Q50FMax(Shotax升级版),德施曼,2549.15,79,2544.05,112,284933.6,德施曼旗舰店,https://detail.tmall.com/item.htm?id=797198269782&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=8c0e1ddac72907eef3db3fab3e7e14d93f792039&mi_id=0000Ko6ytqWSWxsT7hmDN5jqZNGAQldJizKTWLuis3yL8gs&skuId=5435858197085&priceTId=214784c817555876326565695e143f&utparam=%7B%22aplus_abtest%22%3A%226dbca825cbb64c419614a35ded02b47b%22%7D&spm=a21n57.1.item.46,销量为估算值; 合并了2个相似商品; ,73,2544.05,同上,同上,112,同上,
123,155,上涨32,7.42402E+11,萤石AI一握开人脸智能指纹锁家用防盗门电子门锁密码锁,萤石,949,81,993,112,111216,萤石官方旗舰店,https://detail.tmall.com/item.htm?id=742402465834&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=4f58fbad811c4a1b67a01cb93d160d995e86e3b9&mi_id=00006hVAe6FN5xWkN90wu60YOaAu5A5ID5a_rcREwG9zyUY&skuId=5722070921092&priceTId=214784c817555876326565695e143f&utparam=%7B%22aplus_abtest%22%3A%2256002ceeeaaca2d5368cd0910ab75ea4%22%7D&spm=a21n57.1.item.45,合并了2个相似商品; ,77,943,同上,同上,112,993,
124,111,下降13,8.37851E+11,海康威视玻璃门锁指纹密码办公室单门双门免开孔有无框智能电子锁,海康威视,166,100,189,111,20979,海康威视艾微格专卖店,https://detail.tmall.com/item.htm?id=837850603338&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000_L4MgsRN25qVADmm_m71BdluDfcBlRlQ0ErlqQwm3us&skuId=5865846973933&priceTId=214784c817555876177405075e143f&utparam=%7B%22aplus_abtest%22%3A%225a4998e550ee0b160a34582a4e32ffb4%22%7D&spm=a21n57.1.item.30,合并了2个相似商品; ,同上,160,同上,同上,111,189,
125,234,上涨109,9.13141E+11,德施曼密码锁指纹锁家用防盗门人脸识别智能锁感应锁Q50FV,德施曼,3139.05,34,3139.05,111,348434.55,德施曼旗舰店,https://click.simba.taobao.com/cc_im?p=%D6%C7%C4%DC%C3%C5%CB%F8&s=1925105643&k=2093&e=1eLSEx2CagE5NUV2H%2BNEz%2FFvyOmdcDspbyLYV7aOeJL5AfDS%2FCtzjHMFBoYDLG7kFdFTTwgrx5Z2%2FUe%2Bvoqz85YTYL3Aepl1oYX5e7O4qwfw0krwowOnIjXgs9ne61CUaYy4%2B9pAXtoIRUoZRM3kS2FAPAGpgtL%2Fnhi2EApfmpShOj%2Fr954lqLjQLxolhh8ynf7pDRXAsOOWIHFZgjCZlhBWR140rrgvGZAzTFpbPLl63qDVUQzuu3BiGXR4tkWwmqr2iBVLWd4%2FcDErYU3wNlbCmg37PG3vgo9jiQOqT7v6FrS8nsMzZydUgLWwRNgSlf61ZJGYkZxivNV7Lt3mHcdVk0G71C58O3vetuUslO%2BIJkFUu4uB9m9xpJBNZNUTvnVeW%2BWCkAHMgUV%2FRdYiKpd%2FaOE1DbNT2V6lkopmjlL2f%2FY0GyIQC9y7%2BQzan3XUXxoR0Pyy51QYMIkQjPb3%2BwdSu9lz6k2qSHXg2Hl%2FfiYjjVOirVQHPczIxZF%2Fx1WzDUfKo5dLtmhdJjo11neTxEqWxQmIsw%2F2OEe5VVAiqyJqRhnhNhKUyiGDshK6depQEKXdx%2FzaQ0E9HmTyK3c0fdtMOo43LTfskRG4kuqa30OaQD%2B7VnvJJSGDshK6depQKPrAy1Xc9cWxjVUkY4fysiMKNWCM%2F7c2lkUNDjFJVJQXSO%2BfkPqzNCc%2FFhlGLx%2BvGQHg4qUAso%2BZ8%2FGJTBeOnFUle3fuM%2BzsCTpUzGqqhWEBaKR7kxW9lq3dgMK0DnOqQ0D74R3DbWChUndMwUfFEi%2FMz2NyGNkYWoaVFDiRLGx4rzkZF8CndgFfowoS8TmVnFK6vEH7BlQSOz3dsqDNcyq%2BrrPbZTKP%2BmYhlG5Nwe2ALWjHhlrZ5E1TJqjpUlHH58yumKnxACcXSbhwwC%2FFObJuhv4iokiWj6aoqlGh02uzAnaMDFPanlJnw%2FAlVMObo%2Ffa3LlaCWBNSuPaTNQfLXJTRB8dR38BNUCFN284t1L8YLb2IcqeZo%2Bm1ATHtDJrFVBCTXiW1bHOmzcgEHxXQy569G3NKisFJlUab1ar%2B2ui4Tu%2BRQDCSXZhX61wyac8OesxDpQwZ6UPCG480yDm9ivzWIAqQUlrkxQGga17CNZN8KS1usY48WEKn6TqEaoBcA%2BdcKE%2BB4OjYXW4deiwKjqdom2%2FEPUumtfhROYQLGLlwK55YZMY7fI5zTrTRQe7b9onosUh%2Fn1%2BA3ZWBY8LYRZxzpWiOV9NlEqprPbDZ59hcCtZQ1xINlxd1hTCuQ%2B9ZOGB8LSpHEaDXiRGNeDOR3xiCYJvKL2ryNosEoWRrSScjC7BtuvA0VsCLdH6vY3fdFr3kIDSuEtx4h8Af9Q%2FJusHcGB2%2BTo8lyXHU6q6ooK8I7IEcSFmdcXj889%2BgEcgRUNs7LiPOu6YKFLdf7W5i0MsqJyGYEB5qi0GI3Fh%2F6hMVBePMladGy4RlBXvqVB7IJ8HnXH8h5ys%2FDQ%2B17U3ijEaz%2BrG0ByGS%2Fj0o87fvKl2XHlNNBpG57D46l8mGK5YITgVVp2EpUQ9LR1Oo3yXs3ZceU00GkbnionKRY6hulIx9QIC%2BgwxjPbHb0gis9DpU4I9KsvjJMOrrzPxnHc%2B4OVDxj%2F%2FRkg8Fi%2FIU8FEzW7dCCv%2ByyVNysq8gn3z6MyA0mmsY3uF86V4605HNsSDu2olQBxLiIjFlAmZ91IBAr73Oil2vXGXXNBbplk85XfIdtqyEX34WLUvHTIRqqXdLPCRHiF45XfjVjVmvoCjALF4605HNsSDu58K5g1ReFeafE%2F%2BCL7%2Fb5kyEddhch4f0p5Mu1m9zk6QJjoHEkBhxZfjARO2DhY3A4%2FWz4NhEEbqZEMbq5WBae3ijm75Y%2FSVMpe8h9y23Ds4jn8h43sU3gqdhRqlMddB7Fg7VFAiEBjI5SyeSZB7h9aF2h4s3U17GIzCKCXaEs4N1bOhFyeqfP4cONEI75%2FXBpPfF2mOoEgabQO4q4j16HJYI1Q9sZi0yjDUdiZoSrSePVBkbDB%2F9SZ9c3Wdnv2HpWuq3kHfo5uPo%2BKoGDMIQumybu6cwkEJ7ZLjpPc7%2FS7nduOG4rcnRvQ%3D&eadt=1&mm_sceneid=1_0_30467356_0&a=xxc%3Dad_ztc%26umpChannel%3Dbybtqdyh%26u_channel%3Dbybtqdyh%26fpChannel%3D101%26fpChannelSig%3D8ab255f29aa11f8c37bdf5af03f0840654ff9c22%26mi_id%3D0000kBjnQtQ6SY1XoOf7BDSH4LFlchNOTjNHormBTJMxQ_0%26skuId%3D6013817238503%26priceTId%3D2147821917556903311523250e10e0%26utparam%3D%2525257B%25252522aplus_abtest%25252522%2525253A%25252522a0f3d07346da3cf97514cb07f3a76672%25252522%2525257D%26&id=913140532284&spm=a21n57.1.item.1,销量为估算值; 合并了2个相似商品; ,34,3139.05,9,同上,111,同上,
126,N/A,新品,7.65763E+11,石将军3D人脸智能锁指纹电子密码锁掌静脉家用防盗门自动可视监控,石将军,593,110,593,110,65230,石将军旗舰店,https://detail.tmall.com/item.htm?id=765762740179&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000ROphlajbHb72BUaJtwzNTvMAEPop-7hoYcYlFSFIklA&skuId=5264215272425&priceTId=213e02a717558490134364601e2b14&utparam=%7B%22aplus_abtest%22%3A%22d056db510531320a56c696e49b6251ea%22%7D&spm=a21n57.1.item.34,新品; 合并了2个相似商品; ,,,,,110,593,7
127,N/A,新品,9.05264E+11,断桥铝户外防水指纹锁极窄边推拉门密码锁肯德基庭院门智能电子锁,班利浦,188,108,188,108,20304,班利浦旗舰店,https://detail.tmall.com/item.htm?id=905263535911&ns=1&abbucket=16&xxc=taobaoSearch&mi_id=0000HwhXVnAGpwoWlxZliwNlHo3HHhdoQj1gu_qzNfLwAZE&skuId=5933329791753&priceTId=213e051b17558487425507024e10ac&utparam=%7B%22aplus_abtest%22%3A%22a626ad7e5958dbc3c657694cc07d2ffd%22%7D&spm=a21n57.1.item.28,新品; 合并了2个相似商品; ,,,,,108,188,6
128,165,上涨37,8.08854E+11,华为人脸识别智能门锁入户门带监控电子密码锁家用防盗门锁指纹锁,华为,849,71,843,107,90201,华为沃悦专卖店,https://detail.tmall.com/item.htm?id=808854498709&ns=1&abbucket=6&xxc=taobaoSearch&mi_id=0000HWtxapX3uVaGfJKq5HSxtaHJ1iDx6o9VCR95CTVvNQ0&skuId=5497044313885&priceTId=214784c817555876476096297e143f&utparam=%7B%22aplus_abtest%22%3A%22749a082e72e15f000413c168409f7772%22%7D&spm=a21n57.1.item.18,合并了2个相似商品; ,72,843,同上,同上,107,同上,
129,92,下降37,8.51413E+11,户外别墅指纹锁高端复古智能门锁密码防盗电子大农村双开门锁防水,cardoria,296.65,200,291.55,100,29155,cardoria旗舰店,https://detail.tmall.com/item.htm?id=851412852450&ns=1&abbucket=6&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=ab9a6ab32eca7ceed8cc8853224f9482e9700b82&mi_id=0000pXWZYEhlU9zDNgaj_XSsrBeUp57ybSUagQcNZ_fpTHI&skuId=5803261269192&priceTId=214781f817555876005898196e0f19&utparam=%7B%22aplus_abtest%22%3A%227075e3eb916d11a07530c342116e03c1%22%7D&spm=a21n57.1.item.35,,同上,291.55,同上,同上,100,同上,
130,N/A,新品,8.20297E+11,德施曼密码指纹锁家用防盗门全自动智能锁电子锁小嘀Q2P多系列,德施曼,589.05,100,589.05,100,58905,德施曼智能家居旗舰店,https://detail.tmall.com/item.htm?id=820297436930&ns=1&abbucket=16&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=6e7d21d7bd3d5428b2f98997e80b30a12dab9406&mi_id=0000C7S1t-W_s-D7k1Z_Gfh2IHqcVbcpUXjOjsXT7QuhYPQ&skuId=5524747644957&priceTId=215046da17558475615046181e12eb&utparam=%7B%22aplus_abtest%22%3A%22550737c7102911393df79dc88bb8c5ee%22%7D&spm=a21n57.1.item.46,新品; ,,,,,100,589.05,3
