页码,商品ID,商品标题,国补后价格,店铺名称,商品链接,付款人数,品牌,付款金额,2025-08-15_Price,2025-08-15_Main_Image_URL,热水器海尔型号,尺寸,售后服务,防冻功能,毛重,智能控制,保修年限,排烟方式,热水器安装要求,包装尺寸,能效等级,净重,是否防冻,恒温类型,产地,热水器燃气类型,材质,是否恒温,堆码层数极限,必备安装配件,系列,控制方式,功率,颜色分类,3C证书编号,保修期,热水器美的型号,热水器万和型号,上市时间,能效备案号,热水器升位,热水器万家乐型号,生产企业,物流配送安装服务,安装服务,出水方式,型号,燃料种类,款式,功能,热水器能率型号,安装方式,智能类型,省份,地市,电线截面要求,加热功率,工作电压,采购地,热水产率（L/min）,产品类型,热效率（%）,适用人数,配套附带
7,7.08828E+11,万家乐JSQ30-16L5(F)天然气恒温水气双调热水器,2999,天猫优品官方直营,https://detail.tmall.com/item.htm?id=708828224567&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000E6HluZhpy_1rhVQ-b0SNSpcMk5A6UjlTQ6PaRzd8tL4&skuId=4978130993368&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%228b897bf36c5e9adb5490bad6c9f3ac93%22%7D&spm=a21n57.1.item.39,19,万家乐,56981,2999,https://gw.alicdn.com/bao/uploaded/i4/3402329517/O1CN01aO9Zw92KAqBFhEAvh_!!3402329517.jpg_.webp,,558x340x160mm,,,15kg,不支持智能,,强排式,未安装排烟管禁止使用,718x490x251mm,二级,11.5kg,是,水气双调,中国大陆,天然气,,是,8层,直弯烟管组合,,微处理器+燃气调节,40W,玉石白,2.02001E+15,36个月,,,2023-01,,16L,,,,,,,,,,,,,,,,,,,,,,,
3,7.47399E+11,万家乐室外户外机燃气热水器天然气家用恒温洗澡16升RW3政府补贴,3059.15,万家乐官方旗舰店,https://detail.tmall.com/item.htm?id=747398850161&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=33fada553a07dec73a4b39f573989b094261fc4d&mi_id=00004csBd0io8RG_PcO8bwt8-EL5Jwqo0kehydHUJ7bUaW4&skuId=5151789008571&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22ffde663518e201cb4fe57a66c8a4b012%22%7D&spm=a21n57.1.item.40,74,Macro/万家乐,226377.1,3059.15,https://gw.alicdn.com/bao/uploaded/i4/810471546/O1CN01Ygkho91NI7KCDFxHD_!!810471546.jpg_.webp,,589x385x190mm,全国联保,电辅防冻,15kg,其他智能,,强排式,未安装排烟管禁止使用,712x434x297mm,二级,13kg,是,水气双调,中国大陆,天然气,不锈钢,是,10层,直弯烟管组合,W,微处理器+燃气调节,40W,亚光白,2.02001E+15,96个月,,,,,,JSW30-16RW3(F),广东万家乐燃气具有限公司,送货上门安装,含安装,,,,,,,,,,,,,,,,,,,
8,7.42759E+11,政府补贴万家乐燃气热水器室外机 户外机天然气16升变频伺服恒温,3260.01,万家乐兴典专卖店,https://detail.tmall.com/item.htm?id=742758539602&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00002GfA0J3xva6K297RL-W23lXpPv-_74Nw4cvDGbI4wKs&skuId=5255062769576&priceTId=2147807817550607399182639e156c&utparam=%7B%22aplus_abtest%22%3A%22af90175cf3628cc25b695cc85994f909%22%7D&spm=a21n57.1.item.36,16,Macro/万家乐,52160.16,3059.15,https://gw.alicdn.com/bao/uploaded/i2/1024134743/O1CN01qe9zBl1kuLaWbbZDj_!!1024134743.jpg_.webp,,589x385x190mm,全国联保,,15kg,其他智能,96个月,强排式,,712x434x297mm,二级,13kg,是,水气双调,中国大陆,天然气,不锈钢,是,10层,直弯烟管组合,W,微处理器+燃气调节,40W,JSW30-16RW3(F) 16L亚光白,2.02001E+15,,,,,,,JSW30-16RW3(F),,,,,,,,,,,,,,,,,,,,,,
7,6.96106E+11,[政府补贴]万家乐RS20小体积尺寸燃气热水器伺服恒温家用天然气静,3099,万家乐官方旗舰店,https://detail.tmall.com/item.htm?id=696106068778&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00005tg8qBNLKI1zT31Zk5bbVGimo2ea6WtWa20rVYIU5Vw&skuId=4937612548330&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%227935f604efe052fcd9140fade6016b53%22%7D&spm=a21n57.1.item.38,19,Macro/万家乐,58881,3099,https://gw.alicdn.com/bao/uploaded/i2/810471546/O1CN01c76Rgz1NI7NlzrP9G_!!810471546.jpg_.webp,,410x296x150mm,,,13kg 15kg,其他智能,96个月,强排式,未安装排烟管禁止使用,545x370x285mm 554x375x295mm,二级,10.5kg 12kg,是 否,水量伺服,中国大陆,天然气,钢化玻璃+不锈钢,是,8层 10层,直弯烟管组合,玲珑 A3X,微处理器+燃气调节,30W,JSQ30-16A3X玉石白 JSQ30-16RS20哑光白,2.02135E+15,,,,,,,JSQ30-16RS20 JSQ30-16A3X,广东万家乐燃气具有限公司,送货上门安装,含安装,,,,,,,,,,,,,,,,,,,
2,7.73138E+11,[政府换新补贴]海尔燃气热水器双循环天然气家用静音增压KL7S恒温,3171.13,海尔官方旗舰店,https://detail.tmall.com/item.htm?id=773138083969&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000pKOCmakhumUNMPfvLwhrMTIjhgLl8ug-cYHMvdoHupA&skuId=5463839731187&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%22bda3e066c7360b54a4514b01d29aadb1%22%7D&spm=a21n57.1.item.33,100,Haier/海尔,317113,3101.65,https://gw.alicdn.com/bao/uploaded/i1/470168984/O1CN01u37q2N2GEjJvfsk47_!!470168984.jpg_.webp,JSQ31-16KL7SFPAGU1,370x165x600mm,全国联保,,20kg,其他智能,36个月,强排式,,555x244x769mm,二级,17kg,是,双循环恒温,中国大陆,天然气,钢化玻璃+不锈钢,是,11层,直弯烟管组合,海尔恒星系列,微电脑式,48W,JSQ31-16KL7SFPAGU1冰河银,2.02201E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.73131E+11,海尔官方燃气热水器家用天然气静音增压双循环水伺服恒温16升KL7S,3229.15,海尔热水器旗舰店,https://detail.tmall.com/item.htm?id=773131396125&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000FTK1myQknbKE5P2QTHqbGuGEIydN1TJGVGyhombjFW4&skuId=6055702387984&priceTId=2147850817550606789858239e1b10&utparam=%7B%22aplus_abtest%22%3A%22844ca0ff8fcc11f7a2bf7bbc505b9f19%22%7D&spm=a21n57.1.item.17,38,Haier/海尔,122707.7,3101.65,https://gw.alicdn.com/bao/uploaded/i1/470168984/O1CN01c8JpHO2GEjBggih2m_!!470168984.jpg_.webp,JSQ31-16KL7SFPAGU1,370x165x600mm,全国联保,,20kg,其他智能,36个月,强排式,,555x244x769mm,二级,17kg,是,双循环恒温,中国大陆,天然气,钢化玻璃+不锈钢,是,11层,直弯烟管组合,海尔恒星系列,微电脑式,48W,JSQ31-16KL7SFPAGU1冰河银,2.02201E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9.42475E+11,A.O.史密斯天然气16L升洗澡家用燃气热水器智能恒温13升TM5官方,3129.74,AO史密斯以旧换新旗舰店,https://detail.tmall.com/item.htm?id=942475155846&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000qbJhKl6lnsA-w2m_1uUsylFsTt80Gf9zwgRfiH6_l98&skuId=6011658315584&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%22e9c436ce9d009a068f4ae58116cae8d7%22%7D&spm=a21n57.1.item.29,26,A．O．Smith/史密斯,81373.24,3198,https://gw.alicdn.com/bao/uploaded/i4/2219711836952/O1CN01MPYojy21E4W1tRNAT_!!2219711836952.jpg_.webp,,350x162x550mm 550x350x162mm,全国联保,,15kg 16kg,其他智能,24个月,强排式,,350x162x550mm 807x420x248mm,二级,13kg 14kg,是,水气双调,中国大陆,天然气,钢化玻璃+不锈钢,是,10层,直弯烟管组合,JSQTM5Wi Tm5wI JSQ-TM5,微电脑式 后制式,49W,JSQ26-TM5淡雅金 JSQ31-TM5淡雅金 JSQ26-TM5Wi淡雅金 JSQ31-TM5Wi淡雅金,2.02035E+15,,,,,,,,,,,,JSQ31-TM5Wi JSQ26-TM5Wi JSQ31-TM5 JSQ26-TM5,,,,,,,,,,,,,,,,,
4,9.05193E+11,[政府补贴]万和颁芙安睡洗一级节能静音恒温天燃气热水器V9LUltra,3198.4,vanward万和官方旗舰店,https://detail.tmall.com/item.htm?id=905193006252&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000COQ297iFP7MkUFQLba7umqqEdewTQXxwyL_AR2yeVU0&skuId=5841851144221&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%22e2d9e83832eba4ae81f68d7e36ed15e1%22%7D&spm=a21n57.1.item.26,52,Vanward/万和,166316.8,3198.4,https://gw.alicdn.com/bao/uploaded/i3/1638292152/O1CN012LTvKU1RlfOr10fKk_!!1638292152.jpg_.webp,,585x399x188mm 755x587x283mm,上门安装全国联保,,23.3kg 23kg 22kg,其他智能,96个月,强排式,,755x587x283mm,一级,19.9kg 19.1kg,是,水量伺服,中国大陆,天然气,,是,7层,,,微电脑式,120W,JSLQ27-16V9L ULTRA 16L暮岩棕 JSLQ27-16V9L TURBO 16L月影青 JSLQ27-16V9L PRO 16L月影青,2.02435E+15,,,JSLQ27-16V9L ULTRA JSLQ27-16V9L TURBO JSLQ27-16V9L PRO,2025-04 2025-06,20250307-CEL0092016-048896 20250307-CEL0092016-644050 20250522-CEL0092016-881558,16L,,,,,,,,,,,,,,,,,,,,,,,
2,6.75922E+11,[国补15%]ao史密斯佳尼特精钢零冷水燃气热水器16升TJD/TJS5智能,3229.15,A.O.史密斯官方旗舰店,https://detail.tmall.com/item.htm?id=675922184642&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000VZA-va961kkNZ6iHVui_XjzhXBU3x9Mgk2b80xGFZ3s&skuId=6061837575470&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%22e44e04889c173d8b34b34aab1474ede2%22%7D&spm=a21n57.1.item.41,100,A．O．Smith/史密斯,322915,3229.15,https://gw.alicdn.com/bao/uploaded/i1/807040407/O1CN01C7vi2G1EsSHRrNhny_!!807040407.jpg_.webp,,576x343x166mm 420x248x807mm,全国联保,机械加电辅防冻,19kg 18kg,不支持智能,36个月,强排式,未安装排烟管禁止使用,807x420x248mm 375x147x575mm,二级,16kg 15kg,是,零冷水,中国大陆,天然气,,是,10层,,JSQ-TJ,后制式,62W,JSQ31-TJD深灰色｜标配智能安全盒 JSQ31-TJS5 16L蓝色｜小精钢升级款,2.02035E+15,,,,2025-04,20241219-481200-59011734595500007,16L,,艾欧史密斯（中国）热水器有限公司,,,,JSQ31-TJD JSQ31-TJS5,,,,,,,,,,,,,,,,,
14,8.0267E+11,[政府补贴]美的平衡式燃气热水器一级静音16L家用天然气室内GX165,3229.15,美的官方旗舰店,https://detail.tmall.com/item.htm?id=802670485929&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000DUOQt5uANVbJPa5Az4J5IaHb_HuRmC42Yi3Mo2PtLYU&skuId=5861880600797&priceTId=2147821d17550608596435403e125f&utparam=%7B%22aplus_abtest%22%3A%2292c056f1d5065a4d1403b3205cd45dc1%22%7D&spm=a21n57.1.item.14,5,Midea/美的,16145.75,3229.15,https://img.alicdn.com/imgextra/i2/201749140/O1CN01G4UnBA2HOB7fEavQu_!!4611686018427384468-2-item_pic.png_.webp,,600x370x180mm,全国联保,,17.5kg,其他智能,96个月,平衡式,,876x541x240mm,二级,15.5kg,是,水量伺服,中国大陆,天然气,,是,8层,直弯烟管组合,燃气热水器,微电脑式,42W,JSG30-GX165玄武灰,2.02401E+15,,JSG30-GX165,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.14764E+11,美的无冷感M10S燃气热水器一级能效家用天然气16升恒温M10Amax,3279.2,美的热水器旗舰店,https://detail.tmall.com/item.htm?id=914764079244&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000RLyrJWAhxEDpy1TMzrFMFYLwQUbG-WYoj_6AokVli9A&skuId=5872166141698&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%226f76feb629af2b739c877a515acdce2d%22%7D&spm=a21n57.1.item.23,82,Midea/美的,268894.4,3279.2,https://gw.alicdn.com/bao/uploaded/i3/1132304427/O1CN01LQGoEk1iZcShz18VO_!!1132304427.jpg_.webp,,710x520x245mm 540x370x180mm 370x190x575mm,上门安装全国联保,循环加热防冻,15kg 16.5kg 19kg,其他智能,96个月,强排式,,540x370x180mm 710x520x245mm 520x245x710mm,一级,13kg 14kg 16kg,是,无冷感恒温,中国大陆,天然气,,是,8层,直弯烟管组合,燃气热水器,微电脑式 触控式,40W 42W,JSLQ27-M10A Max 16L瓦特纳银 JSLQ27-M10A Ultra 16L瓦特纳银 JSLQ27-M10A Pro 16L瓦特纳银 JSLQ27-M10S Ultra 16L极地白,2.02501E+15,,JSLQ27-M10A Max JSLQ27-M10A Ultra JSLQ27-M10S Ultra JSLQ27-M10A Pro,,2025-04 2025-03,20250306-CEL0092016-402430 20250306-CEL0092016-112818 20250306-CEL0092016-644296 20250208-CEL0092016-407153,16L,,,送货上门安装,含安装,,,天然气,,节能,,,,,,,,,,,,,,
1,5.92431E+11,[智能水伺服爆款]林内燃气热水器恒温天然气家用13升16升C08W,3289,林内官方旗舰店,https://detail.tmall.com/item.htm?id=592431428053&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000wkTFeZakA8V7EfckFuAPHhMTnFDyycVOdD3-nb1T9TY&skuId=5011163490269&priceTId=2147802b17550605903683410e1363&utparam=%7B%22aplus_abtest%22%3A%22e099f3273bd2a82866fe881488daa1d5%22%7D&spm=a21n57.1.item.47,200,Rinnai/林内,657800,3289,https://gw.alicdn.com/bao/uploaded/i4/1087143051/O1CN010bLmOz1YPPT4weJ5a_!!1087143051.png_.webp,,380x150x532mm,上门安装全国联保,电辅防冻,16kg,已连接天猫精灵,36个月,强排式,未安装排烟管禁止使用,730x565x275mm,二级,13kg 12.5kg,是,水量伺服,中国大陆,天然气,无,是,8层,直弯烟管组合,水伺服智慧系列 c08w,微电脑式,60W 57W,JSQ26-C08W 13L黄色 JSQ31-C08W 16L黄色,2.02035E+15,,,,,,,,,,,,JSQ31-C08W JSQ26-C08W,,,,,,,,,,,,,,,,,
4,9.20858E+11,【新品小精钢EC3】AO史密斯燃气热水器家用升级小体积恒温16升,3313.3,A.O.史密斯官方旗舰店,https://detail.tmall.com/item.htm?id=920857714228&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000L3hPI0J9Kc8oN3fPvCcNW7fe5zxRfFyIhE0DeNDFFNk&skuId=5963026863008&priceTId=214783e617550606581112356e14d4&utparam=%7B%22aplus_abtest%22%3A%2295d52290729fb583f596ef300e940fc3%22%7D&spm=a21n57.1.item.40,45,A．O．Smith/史密斯,149098.5,3313.3,https://img.alicdn.com/imgextra/i2/807040407/O1CN01JmbIhD1EsSHUrgw7L_!!4611686018427385239-0-item_pic.jpg_.webp,,576x343x186mm,,,17kg 16kg,不支持智能,36个月,强排式,,807x420x248mm,二级,14kg 13kg,是,双控联调,中国大陆,天然气,,是,10层,,JSQ-EC,后制式,62W 53W,JSQ31-EC3 16L白色 JSQ26-EC3 13L白色,2.02035E+15,,,,2025-05 2025-08,20241128-481200-85901732780500007 20241219-481200-53771734578310007,16L 13L,,,,,,JSQ31-EC3 JSQ26-EC3,,,,,,,,,,,,,,,,,
5,8.79032E+11,【留白】林内燃气热水器玻璃面板家用恒温天然气洗澡官方GC25,3314.15,林内官方旗舰店,https://detail.tmall.com/item.htm?id=879031582245&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000g6FFAyOOvMo0IOIdCCOTHnLOCrSCb2YNhky52jll6yU&skuId=5746297676045&priceTId=2147850817550606789858239e1b10&utparam=%7B%22aplus_abtest%22%3A%2220b34809deb2f0016f83437ac5c3049f%22%7D&spm=a21n57.1.item.42,33,Rinnai/林内,109366.95,3314.15,https://gw.alicdn.com/bao/uploaded/i4/1087143051/O1CN01vNdLiU1YPPRAvILkY_!!1087143051.jpg_.webp,,330x536x173mm 400x591x178mm,,,14.6kg 15kg 18.1kg 18.6kg,不支持智能,36个月,强排式,,713x510x278mm 788x487x294mm,二级,12.1kg 12.5kg 15.8kg 16.3kg,是,水气双调,中国大陆,天然气,玻璃,是,8层,直弯烟管组合,GC25,微电脑式,53W 56W 63W 72W,JSQ26-GC25 13L白色 JSQ31-GC25 16L白色 JSQ40-GC25 20L白色 JSQ47-GC25 24L白色,2.02235E+15,,,,,,,,,,,,JSQ26-GC25 JSQ31-GC25 JSQ40-GC25 JSQ47-GC25,,,,,,,,,,,,,,,,,
8,8.41588E+11,[小蛮腰MAX水伺服]林内燃气热水器家用恒温天然气官方13/16升GC62,3569.15,林内官方旗舰店,https://detail.tmall.com/item.htm?id=841587802133&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00003Hd9ZuLORXHoekhsiOu-GzzGSQYCiOd3n4sLsXiCaDc&skuId=5779304218938&priceTId=2147807817550607399182639e156c&utparam=%7B%22aplus_abtest%22%3A%2293f73fe8f4ab58c3891d923ffeb4dd7f%22%7D&spm=a21n57.1.item.28,16,Rinnai/林内,57106.4,3569.15,https://gw.alicdn.com/bao/uploaded/i2/1087143051/O1CN01OXHk6u1YPPSc49TsI_!!1087143051.png_.webp,,330x170x536mm,,电辅防冻,14kg 14.5kg,不支持智能,36个月,强排式,,510x278x713mm,二级,11.5kg 12kg,是,水量伺服,中国大陆,天然气,钢化玻璃+不锈钢,是,8层,直弯烟管组合,GC62 小蛮腰MAX系列,微电脑式,56W,JSQ26-GC62 13L灰色 JSQ31-GC62 16L灰色,2.02435E+15,,,,2024-03,,13L 16L,,,,,,JSQ26-GC62 JSQ31-GC62,,,,,,,,,,,,,,,,,
2,8.92519E+11,美的无冷感M10Smax燃气热水器一级能效家用天然气16升零冷水恒温,3599.2,美的官方旗舰店,https://detail.tmall.com/item.htm?id=892518513871&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000fXaTGqGcwqaXrbNlGfhiVJxqJC6vG-imv2JIEUOgl-0&skuId=5863643705956&priceTId=2147845617550606133113665e122d&utparam=%7B%22aplus_abtest%22%3A%224d77e2716ea57629ee32c52ad985733c%22%7D&spm=a21n57.1.item.14,125,Midea/美的,449900,3599.2,https://gw.alicdn.com/bao/uploaded/i4/2113137560/O1CN01MjanEK25iXLAFsccf_!!2113137560.jpg_.webp,,370x190x575mm,,,19kg,其他智能,96个月,强排式,,520x245x710mm,一级,16kg,是,无冷感恒温,中国大陆,天然气,,是,8层,直弯烟管组合,燃气热水器,微电脑式,42W,JSLQ27-M10S Max极地白 JSLQ27-M10S Ultra 16L极地白 JSLQ27-M10S Pro极地白,2.02501E+15,,JSLQ27-M10S Pro JSLQ27-M10S Max JSLQ27-M10S Ultra,,2025-03,20250208-CEL0092016-407153,16L,,,,,,,,,,,,,,,,,,,,,,,
3,9.27924E+11,【重磅新品】能率小云朵UP天燃气热水器家用节能静音水伺服恒温,3654.15,能率官方旗舰店,https://detail.tmall.com/item.htm?id=927923860659&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000cTW4sT9DRgApXQ2A7egXOoBG2w1lAqTG2MHQ2L3FJxA&skuId=5976296995355&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%22677650d78c50e999dae41ec7594a7a4c%22%7D&spm=a21n57.1.item.32,76,NORITZ/能率,277715.4,3654.15,https://gw.alicdn.com/bao/uploaded/i2/844390042/O1CN018mTvuX1CBHh0SK5bs_!!844390042.jpg_.webp,,521x361x173mm,上门安装全国联保,,15kg,其他智能,36个月,强排式,,695x510x238mm,二级,12.8kg,是,水量伺服,中国大陆,天然气,,是,9层,直弯烟管组合,16EX33A GQ-16EX37AFEXQ,微电脑式,35W,JSQ30-EX33A 16L珍珠白 JSQ30-EX37AQ 16L白色,2.02535E+15,,,,2025-05,20250514-CEL0092016-304629 20250514-CEL0092016-383017,16L,,,,,,,,,,JSQ30-EX33A JSQ30-EX37AQ,,,,,,,,,,,,,
6,8.34755E+11,【精品】Casarte/卡萨帝 JSQ31-16CYP3FPXGU1 燃气热水器,3654.15,天猫优品官方旗舰店,https://detail.tmall.com/item.htm?id=834754577624&ns=1&abbucket=19&xxc=taobaoSearch&umpChannel=bybtqdyh&u_channel=bybtqdyh&fpChannel=101&fpChannelSig=a3db5b141532a09fd50137ca3bdf27046e97f462&mi_id=0000bAr-BYq7OWgpcpvTGOiF9cetzl6MWXIxszU5OgJgsa4&skuId=5753395718483&priceTId=2147817d17550606995197137e125b&utparam=%7B%22aplus_abtest%22%3A%226d2841fb7d0f1f8d1740baedd33379ca%22%7D&spm=a21n57.1.item.33,26,Casarte/卡萨帝,95007.9,3654.15,https://img.alicdn.com/imgextra/i3/3402329517/O1CN01MkOS7N2KAqFPu2Sr7_!!0-item_pic.jpg_.webp,,595x370x172mm,,,19kg,其他智能,,强排式,,811x550x280mm,二级,16kg,是,水量伺服,中国大陆,天然气,,是,11层,,,微电脑式,48W,流星银,2.01935E+15,36个月,,,2023-08,,16L,,,,,,JSQ31-16CYP3FPXGU1,,,,,,,,,,,,,,,,,
13,7.19618E+11,海尔燃气热水器室外机KW5家用天然气密闭稳燃恒温防冻旗舰TF3,3596.13,海尔兴瑞艾专卖店,https://detail.tmall.com/item.htm?id=719617617378&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000uwFhU3Ue-JUsXdhuVxg9z5pWMc0Lkr6gKu1rI5tAFI0&skuId=6053235362694&priceTId=214783fb17550608401982856e1c72&utparam=%7B%22aplus_abtest%22%3A%22a294586b217c8bf564be935747ec2934%22%7D&spm=a21n57.1.item.9,6,Haier/海尔,21576.78,3654.15,https://gw.alicdn.com/bao/uploaded/i2/2215672762050/O1CN019dmrvr1R0wxYfQs15_!!2215672762050.jpg_.webp,JSW31-16KW5FU1 JSW31-16KW5PlusFU1,620x390x150mm,全国联保,,17.5kg 18.7kg,其他智能,,强排式,,756x514x256mm,二级,14.5kg 16kg,是,无极变频水伺服,中国大陆,天然气,,是,11层,,KW5Plus,微电脑式,48W,JSW31-16KW5PlusFU1浅驼灰 JSW31-16KW5FU1浅驼灰,2.02201E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6.83177E+11,Casarte/卡萨帝 JSQ31-16CYA(12T)U1 卡萨帝热水器,3699,天猫优品官方直营,https://detail.tmall.com/item.htm?id=683177119571&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000UUXsAoD9Plk92vK7M5ZS_9FJyL5A3BE_ffc2jPMR2ts&skuId=4882619808252&priceTId=2147807817550607399182639e156c&utparam=%7B%22aplus_abtest%22%3A%2234e3f55bc3673022594404047e1f0415%22%7D&spm=a21n57.1.item.34,16,Casarte/卡萨帝,59184,3699,https://img.alicdn.com/imgextra/i3/3402329517/O1CN01pDyas42KAqC6HIPV5_!!0-item_pic.jpg_.webp,,540x370x160mm,,,18kg,其他智能,,强排式,,757x544x270mm,二级,14.8kg,是,水气双调,中国大陆,天然气,,是,11层,,,微电脑式,48W,帛拉蒂,2.02101E+15,36个月,,,2022-08,,16L,,,,,,JSQ31-16CYA(12T)U1,,,,,,,,,,,,,,,,,
5,7.81676E+11,[政府补贴]美的燃气热水器零冷水16L家用天然气速热恒温室外GT164,3739.15,美的官方旗舰店,https://detail.tmall.com/item.htm?id=781675561055&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000ixjP42yk-6KDEdH2ZajnbF9FZLtdAExK42wYznybQKI&skuId=5511454754169&priceTId=2147850817550606789858239e1b10&utparam=%7B%22aplus_abtest%22%3A%22220f997c3334b0400aa145f67ed43cb0%22%7D&spm=a21n57.1.item.18,46,Midea/美的,172000.9,3739.15,https://gw.alicdn.com/bao/uploaded/i2/201749140/O1CN0139bzvn2HOB5EtwUgb_!!201749140.jpg_.webp,,570x375x162mm,,,15.2kg,其他智能,96个月,室外型,,695x520x210mm,二级,12.7kg,是,水量伺服,中国大陆,天然气,钢化玻璃+不锈钢,是,8层,直弯烟管组合,燃气热水器,线控式,40W,JSW30-GT164 16L极地白,2.02401E+15,,JSW30-GT164,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7.34992E+11,[政府换新补贴]海尔燃气热水器KN7S零冷水家用天然气双循环恒温,3766.13,海尔官方旗舰店,https://detail.tmall.com/item.htm?id=734991854969&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=00009RIaxo-EUfu8hsL6uEvFwpTkOf1DjkxsI8oVTgnz5rs&skuId=6057905179163&priceTId=2147838917550606348336267e1418&utparam=%7B%22aplus_abtest%22%3A%227093569226635ec501a5fb99125d70f6%22%7D&spm=a21n57.1.item.37,70,Haier/海尔,263629.1,3824.15,Not Found,JSQ31-16KN7SFRAGU1,600x370x165mm,全国联保,,20kg,其他智能,36个月,强排式,,769x555x244mm,二级,17kg,是,水量伺服,中国大陆,天然气,,是,11层,直弯烟管组合,无,微电脑式,48W,JSQ31-16KN7SFRAGU1 16L星蕴银,2.02201E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.35356E+11,海尔燃气款热水器KN7S天然气家用16升密闭稳燃舱双循环零冷水,3824.15,海尔热水器旗舰店,https://detail.tmall.com/item.htm?id=735356038947&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000eLlBCjO6w6-ecDf-DGxNtfPNYHAJzx4lG0tK6UFzqv4&skuId=5865442500741&priceTId=2147842d17550607197295489e229c&utparam=%7B%22aplus_abtest%22%3A%22dae4bc973aa7425cfb9918118e6e892a%22%7D&spm=a21n57.1.item.33,19,Haier/海尔,72658.85,3824.15,,JSQ31-16KN7SFRAGU1,600x370x165mm,全国联保,,20kg,其他智能,36个月,强排式,,769x555x244mm,二级,17kg,是,水量伺服,中国大陆,天然气,,是,11层,直弯烟管组合,无,微电脑式,48W,JSQ31-16KN7SFRAGU1星蕴银,2.02201E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.31499E+11,[新品首发]海尔燃气热水器双循环一级能效天然气KE70SMAX恒温节能,3839.2,海尔热水器旗舰店,https://detail.tmall.com/item.htm?id=931499170037&ns=1&abbucket=19&xxc=taobaoSearch&mi_id=0000Ddr-DRqxXDb7PPBRyNZ8DxiwYZz7mgDq45CVwdwBZW4&skuId=5819326885985&priceTId=214783fb17550608401982856e1c72&utparam=%7B%22aplus_abtest%22%3A%221051e3e9618cd2c6809f83d110832efc%22%7D&spm=a21n57.1.item.43,5,Haier/海尔,19196,3839.2,https://img.alicdn.com/imgextra/i2/883072941/O1CN015sUdFG1Xb1ucIHWGO_!!4611686018427387821-0-item_pic.jpg_.webp,JSLQ27-16KE70SMAXFU1 JSLQ27-16KE70SGTFU1,600x370x170mm,全国联保,,19.8kg,其他智能,36个月,强排式,,770x540x245mm,一级,17.5kg,是,水量伺服,中国大陆,天然气,,是,11层,,,微电脑式,50W,JSLQ27-16KE70SMAXFU1 16L星石蓝 JSLQ27-16KE70SGTFU1 16L星石蓝,2.02301E+15,,,,2025-03,,16L,,,,,,,,,,,,,,,,,,,,,,,
