排序,别名,商品ID,券前价(元),活动类型,登记日期,活动状态,活动ID,活动名称,系统推送时间,商品名称,链接,69码
5,两件套1000G+管线机,246986456918,1917,百亿补贴,2025-10-16,已结束,10441,百亿补贴报名入口,无,【小海豚1000G管线机套装】云米净水器家用厨下一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,20981,【11.11大促】20981长期报名入口,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,百亿补贴,2025-10-16,已结束,20453,百亿补贴电器限时降价,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,百亿补贴,2025-10-16,已结束,23530,百亿补贴电器限时降价（95折入口）,2025-10-15 00:02:07,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,23620,【10周年庆】-国庆中秋搜索推荐报名专区,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,23620,【10周年庆】-国庆中秋搜索推荐报名专区,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
6,小海豚2 1000G,244055989700,609,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=244055989700,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,21364,平台官方活动-长期-品牌搜索推荐专区,2025-10-16 10:51:39,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,21610,平台官方大促-晋升长期活动报名,2025-10-16 10:20:31,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:20:24,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,20981,【11.11大促】20981长期报名入口,2025-10-15 13:15:24,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,2025-10-15 10:48:22,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,百亿补贴,2025-10-16,已结束,10441,百亿补贴报名入口,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,大促搜索池,2025-10-16,已结束,20981,【11.11大促】20981长期报名入口,2025-10-11 09:43:22,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,百亿补贴,2025-10-16,已结束,22827,百亿补贴报名入口-政府补贴（快速通道）,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,百亿补贴,2025-10-16,已结束,22827,百亿补贴报名入口-政府补贴（快速通道）,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
7,小海豚2 1000G（新）,309517106373,928,百亿补贴,2025-10-16,已结束,22827,百亿补贴报名入口-政府补贴（快速通道）,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=309517106373,
8,小海豚2 1000G（新1）,832355139965,929,大促搜索池,2025-10-16,已结束,21610,平台官方大促-晋升长期活动报名,2025-10-16 10:20:31,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,大促搜索池,2025-10-16,已结束,23643,【11.11大促】-搜索推荐报名专区,2025-10-16 10:20:24,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-13 18:16:54,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,20453,百亿补贴电器限时降价,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,23531,百亿补贴电器限时降价（97折入口）,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,无,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-13 10:57:22,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-11 15:49:56,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-11 15:38:19,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
8,小海豚2 1000G（新1）,832355139965,929,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-09 14:40:02,【25年新品0陈水】云米净水器小海豚2 1000G家用直饮厨下RO反渗透,https://mobile.yangkeduo.com/goods.html?goods_id=832355139965,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",补贴秒杀,2025-10-16,已结束,17987,【精选首页】补贴秒杀品牌商品,无,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,2025-09-28 10:48:50,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",品牌清仓,2025-10-16,已结束,21657,【百亿消费券】活动长期报名链接,2025-07-17 15:52:02,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",百亿补贴,2025-10-16,已结束,22180,百亿加倍补-电器大爆款报名,无,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
9,小海豚600G+,205458105137,"832.00,1175.00,1861.00",百亿补贴,2025-10-16,已结束,20246,百亿补贴报名入口(多人团)-知名品牌,2024-09-23 14:17:59,【母婴直饮】云米净水器600G厨下式RO反渗透直饮过滤器净饮小海豚,https://mobile.yangkeduo.com/goods.html?goods_id=205458105137,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-12 13:16:00,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-10 12:12:30,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-10 12:11:18,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,22180,百亿加倍补-电器大爆款报名,2025-10-10 16:28:59,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-09 17:43:27,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 16:54:21,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 16:53:28,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 16:44:01,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 16:32:07,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
10,小海豚600G+（老）,225501370546,"2038.00,2057.00",月卡会员活动,2025-10-16,已结束,23365,月卡专享价—拼多多官方会员活动快速报名,2025-10-08 13:52:22,【重磅新品】云米净水器600G小海豚升级版厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=225501370546,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-13 13:16:02,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 15:28:44,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,月卡会员活动,2025-10-16,已结束,23365,月卡专享价—拼多多官方会员活动快速报名,2025-10-08 13:52:23,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,已结束,22496,广告商品-大促专属报名通道,2025-10-08 11:10:42,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,已结束,22473,百亿长期合资券品类活动报名链接（46）,2025-10-08 09:06:02,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-10-09 15:04:40,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-06 16:44:23,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-09-29 19:48:48,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,补贴秒杀,2025-10-16,已结束,18056,【平台官补】补贴秒杀品牌千万爆款团,无,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
11,小海豚600G+（新）,819506595979,1440,大促搜索池,2025-10-16,已结束,23149,平台官方活动-长期-搜索推荐专区,2025-09-28 10:48:50,【母婴直饮】云米净水器 SE 600G+ 新升级厨下式RO反渗透直饮家用,https://mobile.yangkeduo.com/goods.html?goods_id=819506595979,
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-14 10:03:55,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-13 13:16:35,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,已结束,21374,平台官方活动-长期-搜索推荐专区,2025-10-08 17:38:56,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 17:36:41,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,已结束,18425,百补商家自主降价链接,2025-10-08 17:31:36,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-10-09 15:04:39,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,已结束,21610,平台官方大促-晋升长期活动报名,2025-09-30 13:48:23,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,大促搜索池,2025-10-16,已结束,23620,【10周年庆】-国庆中秋搜索推荐报名专区,2025-09-30 13:48:16,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,首页推荐专区,2025-10-16,已结束,21967,【上首页】流量续航（极速审核）,2025-09-30 12:06:52,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
12,小海豚600G+冷热管线机套装,480070620581,759,百亿补贴,2025-10-16,已结束,22148,百亿补贴-百亿加倍补-特定商品报名链接,2025-09-29 19:48:48,【冷热直饮套装】云米净水器家用厨下管线机套装一键即热制冷直饮,https://mobile.yangkeduo.com/goods.html?goods_id=480070620581,6923185653974
